-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/20/2016 through 08/20/2026 in LST
Location: Latitude  -12.1528   Longitude -44.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 614.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WS10M,T2M
2016,8,20,0,7.72,3.83,23.42
2016,8,20,1,7.06,3.25,22.55
2016,8,20,2,6.75,3.06,21.93
2016,8,20,3,6.71,3.12,21.4
2016,8,20,4,6.58,3.14,20.85
2016,8,20,5,6.25,2.96,20.22
2016,8,20,6,5.83,3.52,20.5
2016,8,20,7,6.83,5.57,22.81
2016,8,20,8,6.44,5.56,25.68
2016,8,20,9,5.4,4.84,28.75
2016,8,20,10,4.43,4.03,31.29
2016,8,20,11,3.8,3.46,33.22
2016,8,20,12,3.43,3.1,34.53
2016,8,20,13,3.19,2.86,35.25
2016,8,20,14,3.06,2.73,35.36
2016,8,20,15,3.03,2.69,34.89
2016,8,20,16,3.15,2.75,33.79
2016,8,20,17,3.46,1.99,30.42
2016,8,20,18,3.96,2.38,27.37
2016,8,20,19,4.33,2.54,26.25
2016,8,20,20,4.39,2.57,25.3
2016,8,20,21,4.2,2.49,24.48
2016,8,20,22,3.84,2.33,23.82
2016,8,20,23,3.39,2.13,23.33
2016,8,21,0,3.11,1.99,22.77
2016,8,21,1,3.08,1.97,21.97
2016,8,21,2,3.26,2.04,21.03
2016,8,21,3,3.53,2.15,20.13
2016,8,21,4,3.86,2.28,19.3
2016,8,21,5,4.28,2.41,18.57
2016,8,21,6,4.64,2.54,19.3
2016,8,21,7,4.63,3.92,23.24
2016,8,21,8,5.14,4.54,27.19
2016,8,21,9,4.15,3.9,30.36
2016,8,21,10,2.76,2.72,32.58
2016,8,21,11,1.75,1.75,34.16
2016,8,21,12,0.94,1.0,35.13
2016,8,21,13,0.27,0.32,35.64
2016,8,21,14,0.46,0.26,35.71
2016,8,21,15,0.96,0.76,35.25
2016,8,21,16,1.43,1.2,34.21
2016,8,21,17,1.61,1.03,31.64
2016,8,21,18,1.74,1.21,29.79
2016,8,21,19,2.02,1.4,28.78
2016,8,21,20,2.34,1.61,27.66
2016,8,21,21,2.68,1.83,26.73
2016,8,21,22,2.95,1.97,25.78
2016,8,21,23,3.05,2.02,24.97
2016,8,22,0,3.05,2.0,24.19
2016,8,22,1,2.99,1.94,23.57
2016,8,22,2,2.83,1.82,23.15
2016,8,22,3,2.63,1.68,22.78
2016,8,22,4,2.45,1.53,22.43
2016,8,22,5,2.35,1.45,22.01
2016,8,22,6,2.41,1.45,22.23
2016,8,22,7,2.48,2.21,24.88
2016,8,22,8,3.0,2.66,28.96
2016,8,22,9,3.54,3.15,32.3
2016,8,22,10,3.58,3.21,34.43
2016,8,22,11,3.25,2.93,35.85
2016,8,22,12,2.9,2.64,36.74
2016,8,22,13,2.62,2.39,37.14
2016,8,22,14,2.48,2.27,37.05
2016,8,22,15,2.57,2.34,36.42
2016,8,22,16,3.01,2.66,35.21
2016,8,22,17,3.78,2.15,32.07
2016,8,22,18,4.99,2.62,29.04
2016,8,22,19,6.03,2.81,28.53
2016,8,22,20,6.7,2.96,28.05
2016,8,22,21,6.9,3.03,27.16
2016,8,22,22,6.72,3.03,25.94
2016,8,22,23,6.38,2.98,25.04
2016,8,23,0,6.22,2.98,24.21
2016,8,23,1,6.54,3.09,23.53
2016,8,23,2,7.32,3.53,23.02
2016,8,23,3,8.21,4.37,22.74
2016,8,23,4,8.48,4.97,22.59
2016,8,23,5,7.84,4.37,21.95
2016,8,23,6,6.9,4.45,22.1
2016,8,23,7,8.47,6.62,24.85
2016,8,23,8,8.88,7.47,27.28
2016,8,23,9,8.24,7.09,29.79
2016,8,23,10,7.34,6.42,32.07
2016,8,23,11,6.35,5.6,33.9
2016,8,23,12,5.42,4.82,35.17
2016,8,23,13,4.69,4.19,35.79
2016,8,23,14,4.3,3.83,35.84
2016,8,23,15,4.24,3.73,35.31
2016,8,23,16,4.31,3.72,34.19
2016,8,23,17,4.45,2.62,31.44
2016,8,23,18,5.08,2.56,28.67
2016,8,23,19,6.05,2.84,28.13
2016,8,23,20,6.98,3.29,28.23
2016,8,23,21,7.77,4.11,27.98
2016,8,23,22,8.6,5.26,27.78
2016,8,23,23,9.18,6.02,27.48
2016,8,24,0,8.97,6.0,26.82
2016,8,24,1,8.44,5.12,25.24
2016,8,24,2,8.53,5.39,24.23
2016,8,24,3,8.25,5.33,23.37
2016,8,24,4,8.34,5.55,22.61
2016,8,24,5,8.01,5.4,21.89
2016,8,24,6,7.95,5.74,21.81
2016,8,24,7,9.66,7.69,23.6
2016,8,24,8,10.29,8.48,26.01
2016,8,24,9,10.16,8.54,28.52
2016,8,24,10,9.81,8.33,30.77
2016,8,24,11,9.45,8.05,32.54
2016,8,24,12,8.98,7.69,33.71
2016,8,24,13,8.53,7.3,34.21
2016,8,24,14,8.22,7.01,34.12
2016,8,24,15,8.07,6.82,33.46
2016,8,24,16,7.94,6.55,32.28
2016,8,24,17,7.5,5.41,30.6
