-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/20/2016 through 08/20/2026 in LST
Location: Latitude  -7.0769   Longitude -41.4669 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 406.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WS10M,T2M
2016,8,20,0,8.57,5.81,25.95
2016,8,20,1,9.12,6.12,25.28
2016,8,20,2,8.59,5.85,24.44
2016,8,20,3,7.71,5.21,23.58
2016,8,20,4,7.08,4.66,22.82
2016,8,20,5,6.77,4.4,22.22
2016,8,20,6,7.73,5.87,23.03
2016,8,20,7,9.23,7.58,25.36
2016,8,20,8,8.67,7.36,27.96
2016,8,20,9,7.62,6.58,30.56
2016,8,20,10,6.55,5.73,32.85
2016,8,20,11,5.74,5.06,34.7
2016,8,20,12,5.34,4.73,35.97
2016,8,20,13,5.25,4.68,36.58
2016,8,20,14,5.36,4.78,36.58
2016,8,20,15,5.56,4.92,35.95
2016,8,20,16,5.8,4.97,34.66
2016,8,20,17,6.19,3.82,32.48
2016,8,20,18,7.04,3.87,30.98
2016,8,20,19,7.54,4.66,30.24
2016,8,20,20,7.76,5.04,29.32
2016,8,20,21,7.86,5.17,28.42
2016,8,20,22,7.91,5.25,27.57
2016,8,20,23,8.0,5.39,26.77
2016,8,21,0,7.89,5.46,26.07
2016,8,21,1,7.86,5.59,25.54
2016,8,21,2,8.15,5.87,25.14
2016,8,21,3,8.71,5.98,24.33
2016,8,21,4,7.9,5.46,23.63
2016,8,21,5,6.78,4.39,22.86
2016,8,21,6,6.83,5.24,23.58
2016,8,21,7,7.26,6.07,26.1
2016,8,21,8,6.11,5.33,28.97
2016,8,21,9,4.64,4.17,31.61
2016,8,21,10,3.61,3.31,33.66
2016,8,21,11,3.29,3.06,35.13
2016,8,21,12,3.42,3.21,36.15
2016,8,21,13,3.71,3.48,36.54
2016,8,21,14,4.03,3.76,36.49
2016,8,21,15,4.26,3.9,35.75
2016,8,21,16,4.44,3.93,34.48
2016,8,21,17,4.77,3.01,32.43
2016,8,21,18,5.34,2.5,30.9
2016,8,21,19,5.75,2.62,30.17
2016,8,21,20,6.16,2.77,29.27
2016,8,21,21,6.52,2.94,28.24
2016,8,21,22,6.79,3.08,27.08
2016,8,21,23,6.97,3.21,26.11
2016,8,22,0,6.99,3.3,25.24
2016,8,22,1,6.87,3.32,24.43
2016,8,22,2,6.75,3.3,23.68
2016,8,22,3,6.7,3.35,23.05
2016,8,22,4,6.81,3.61,22.49
2016,8,22,5,7.19,4.33,22.02
2016,8,22,6,7.43,5.93,23.03
2016,8,22,7,7.93,6.72,26.47
2016,8,22,8,6.95,6.15,29.65
2016,8,22,9,4.81,4.45,32.41
2016,8,22,10,3.02,2.8,34.68
2016,8,22,11,2.5,2.25,36.27
2016,8,22,12,2.74,2.48,37.35
2016,8,22,13,3.18,2.89,37.88
2016,8,22,14,3.53,3.19,37.86
2016,8,22,15,3.78,3.38,37.25
2016,8,22,16,4.02,3.47,36.01
2016,8,22,17,4.51,2.46,32.29
2016,8,22,18,5.42,2.84,29.65
2016,8,22,19,6.55,3.14,28.69
2016,8,22,20,7.63,3.48,27.93
2016,8,22,21,8.35,3.83,27.27
2016,8,22,22,8.57,4.03,26.63
2016,8,22,23,8.53,4.15,26.02
2016,8,23,0,8.45,4.38,25.38
2016,8,23,1,8.54,4.83,24.71
2016,8,23,2,8.9,5.65,24.1
2016,8,23,3,9.2,6.24,23.57
2016,8,23,4,8.77,5.98,23.04
2016,8,23,5,7.9,5.16,22.36
2016,8,23,6,8.46,6.31,23.23
2016,8,23,7,10.35,8.35,25.91
2016,8,23,8,9.79,8.21,28.76
2016,8,23,9,8.6,7.41,31.5
2016,8,23,10,7.52,6.58,33.82
2016,8,23,11,6.65,5.9,35.55
2016,8,23,12,6.05,5.41,36.67
2016,8,23,13,5.83,5.22,37.15
2016,8,23,14,5.89,5.25,37.04
2016,8,23,15,6.11,5.39,36.31
2016,8,23,16,6.49,5.52,34.95
2016,8,23,17,7.03,4.11,32.16
2016,8,23,18,8.11,3.94,29.87
2016,8,23,19,8.75,4.8,29.21
2016,8,23,20,9.2,5.52,28.44
2016,8,23,21,9.58,6.1,27.73
2016,8,23,22,9.27,6.02,26.91
2016,8,23,23,9.4,6.23,25.96
2016,8,24,0,9.45,6.62,24.87
2016,8,24,1,9.03,6.49,23.67
2016,8,24,2,8.54,6.2,22.65
2016,8,24,3,8.09,5.87,21.85
