Altitude [m];-5°C;0°C;5°C;10°C;15°C;20°C;25°C;30°C
0;1,318;1,294;1,271;1,248;1,226;1,206;1,185;1,166
100;1,303;1,279;1,256;1,234;1,212;1,192;1,172;1,152
200;1,288;1,264;1,241;1,219;1,198;1,178;1,158;1,139
300;1,273;1,249;1,227;1,205;1,184;1,164;1,145;1,126
400;1,258;1,235;1,213;1,191;1,17;1,151;1,131;1,113
500;1,243;1,22;1,198;1,177;1,157;1,137;1,118;1,1
600;1,229;1,206;1,184;1,163;1,143;1,124;1,105;1,087
700;1,214;1,192;1,171;1,15;1,13;1,111;1,092;1,074
800;1,2;1,178;1,157;1,136;1,117;1,098;1,079;1,061
900;1,186;1,164;1,143;1,123;1,103;1,085;1,066;1,049
1000;1,172;1,15;1,13;1,11;1,09;1,072;1,054;1,036
