Localidade;Ano;k;V_media [m/s];c_k [m/s];n_registros
Fortaleza/CE;2019;1,0;7,336;7,3357;8760
Fortaleza/CE;2019;2,0;7,336;8,2774;8760
Fortaleza/CE;2019;3,5;7,336;8,1531;8760
Fortaleza/CE;2024;1,0;7,43;7,4295;8784
Fortaleza/CE;2024;2,0;7,43;8,3833;8784
Fortaleza/CE;2024;3,5;7,43;8,2573;8784
Picos/PI;2019;1,0;5,948;5,9484;8760
Picos/PI;2019;2,0;5,948;6,712;8760
Picos/PI;2019;3,5;5,948;6,6112;8760
Picos/PI;2024;1,0;5,715;5,715;8784
Picos/PI;2024;2,0;5,715;6,4487;8784
Picos/PI;2024;3,5;5,715;6,3518;8784
